,review,sentiment
0,"I bought this product with a trust on boAt brand in October 2019, but in month of February 2020 only it started giving me trouble, within 4 months of purchase.Now, left side ear bud is not working and not getting sound from left side. I know it has 1 year warranty, so I request concerned customer support to take this into consideration and replace the product with good one OR please refund my money.READ MORE",1
1,Good and amazing product with deep bass. Fantastic designe good for gymREAD MORE,5
2,"Just received Yesterday, Sound Quality and Battery Good, Bluetooth Range is  Good in Open Space, but at home it's range is little low , It's range not properly   available beyond walls ,  Cables made in good Quality, it's little hard & Long , Short &flexible cables  more suitable to use i think, , overall after using one day it's nice product, only facing trouble is that connection/ Bluetooth range  not available in another room due to walls i thinkREAD MORE",4
3,I like the design of the headset. the best part of the headset is sound the moment just turn it on I feel like I was in heaven and the beats were so good very can able to listen each and every instrument which was played in the headset it was crystal clear and I recommend this is one of the fantabulous product and it's a Paisa vasool product please go for it and thank you for the wonderful deal to FlipkartREAD MORE,2
4,"Really awesome crispy and enhanced bass effect... Recommend for bass lover.... Design and comfort also very nice..., don't think just go for it u will love it... Thank you flipkart for fast delivery and good packing...READ MORE",5
5,"Received this product with more expectation.Pros:Build is good, Bass is Awesome, Sound quality is good and louder, paired in few seconds. Cons:Connection range - felt like its a wiredheadset, coz proper range is only 2fts, if u move more than 2fts the connection drops, if u place ur mobile behind u, the connection drops. too annoying. u have to keep ur mobile in hand or pocket. even a cheap Chinese wireless headset have good connection range.Noise - as most commenters mentioned its not...READ MORE",1
6,"After 1 month use, I can say this is best bluetooth head phone in 1500 rupee.Likes:- Good battery life. On descriptions it had written 8 hours but I'm getting 1.5 day battery life in a single charge.- Sound it good and extreme bass. 5* for bass- Built quality is very good. light waite and handy.Dislikes:- wire are too long. it's coming till my belly. when you are not using it, they are quite disturbing. and while walking they move left to write.- ear berds are not holding my ear perfec...READ MORE",4
7,Overall its a nice product...the sound quality is 8/10.. extra bass is there..while playing classical musics sound of some extra instruments are missing..now comes to the built quality its made of plastic its pretty good in looking..i bought the ocean blue colour it is really colour..and the back of the earbuds are made of magnets.. battery backup is also superb...overall good quality product it is in this price..READ MORE,5
8,The product quality is awsm as it is the product of BOAT. The bass is very very good but if u want to hear clear sound then you must prefer another one..Overall it is awsm.. I purchased it in big billion day sale worth RS 899..READ MORE,5
9,Earphones are really comfortable...bass er really good but the sound clearly could have been better.. The good thing is that it chargers quickly and is water proof too...over all it’s a good deal specially for those who workout’sREAD MORE,4
